Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C10, C11, C12, C13, C14, C15, C16, C17, C18, C19, C2, C20, C21, C22, C23, C24, C25, C26, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C5, C50, C52, C54, C56, C58, C6, C64, C66, C68, C7, C70, C8, C9",0603,58,0.1uF,
"CN1, CN2",AUDIO-TH_XKB_PJ-320A,2,PJ-320A,C2884926
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D27, D28, D29, D3, D30, D31, D32, D33, D34, D35, D36, D37, D38, D39, D4, D40, D41, D42, D43, D44, D45, D46, D47, D48, D49, D5, D50, D51, D52, D53, D54, D55, D56, D57, D58, D6, D7, D8, D9",D_SOD-123,58,D,
D59,SOD-123_L2.8-W1.8-LS3.7-RD,1,MBR130T1G,C82461
F1,F1206,1,nSMD050-33V,C70077
"J1, J2",PinSocket_1x04_P2.54mm_Vertical,2,Conn_01x04_Socket,
"LED1, LED2",LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,2,WS2812B-2020,C965555
"LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED20, LED21, LED22, LED23, LED24, LED25, LED26, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED5, LED50, LED51, LED53, LED55, LED57, LED6, LED63, LED65, LED67, LED69, LED7, LED8, LED9",LED-SMD_L3.2-W2.8-LS5.9_SK6812MINI-E,56,SK6812MINI-E_C5149201,C5149201
"R1, R2",0805,2,806K,
"R3, R4",0805,2,2M,
"R5, R6, R7, R8",0603,4,330,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW31, SW32, SW33, SW34, SW35, SW36, SW37, SW38, SW39, SW4, SW40, SW41, SW42, SW43, SW44, SW45, SW46, SW47, SW48, SW49, SW5, SW50, SW51, SW52, SW53, SW54, SW55, SW56, SW6, SW7, SW8, SW9",SW_choc_v1_HS_CPG135001S30_1u,56,SW_Push,
"SW57, SW58",RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,2,RotaryEncoder_Switch,
"TP1, TP3",TestPoint_Pad_D2.0mm,2,BAT,
"TP2, TP4",TestPoint_Pad_D2.0mm,2,GND,
"U3, U4",CONN-TH_S2B-PH-K-S-LF-SN,2,S2B-PH-K-S(LF)(SN),C173752
"U5, U6",NICE!NANO V2_2,2,nice!nano v2,
