Designator,Mid X,Mid Y,Rotation,Layer
C1,31.8,-159.0,180.0,bottom
C10,415.11383,-138.549,0.0,bottom
C11,162.6875,-124.2125,180.0,bottom
C12,396.063832,-126.642751,180.0,bottom
C13,143.6375,-117.06875,180.0,bottom
C14,415.11383,-119.499001,180.0,bottom
C15,162.6875,-105.1625,0.0,bottom
C16,396.063833,-107.592751,0.0,bottom
C17,143.6375,-98.01875,0.0,bottom
C18,415.11383,-100.449001,0.0,bottom
C19,105.5375,-155.16875,180.0,bottom
C2,526.951332,-161.43025,180.0,bottom
C20,453.25133,-157.599,180.0,bottom
C21,124.5875,-150.40625,180.0,bottom
C22,434.351331,-152.8365,180.0,bottom
C23,105.5375,-136.11875,0.0,bottom
C24,453.25133,-138.549,0.0,bottom
C25,105.5375,-117.06875,180.0,bottom
C26,453.251331,-119.499,180.0,bottom
C27,124.5875,-131.35625,0.0,bottom
C28,124.5875,-112.30625,180.0,bottom
C29,124.5875,-93.25625,0.0,bottom
C3,143.6375,-155.16875,180.0,bottom
C30,105.5375,-98.01875,0.0,bottom
C31,139.0,-193.3,0.0,bottom
C32,157.925,-193.26875,0.0,bottom
C33,183.3,-173.6,20.0,bottom
C34,190.0,-155.7,20.0,bottom
C35,86.4875,-162.3125,180.0,bottom
C36,67.4375,-162.3125,180.0,bottom
C37,86.4875,-143.2625,0.0,bottom
C38,67.7,-143.2,0.0,bottom
C39,434.351331,-133.7865,0.0,bottom
C4,415.113831,-157.599,180.0,bottom
C40,434.35133,-114.736501,180.0,bottom
C41,434.35133,-95.686501,0.0,bottom
C42,453.25133,-100.449001,0.0,bottom
C43,420.001332,-195.73025,0.0,bottom
C44,400.826333,-195.699,0.0,bottom
C45,374.865961,-176.243307,340.0,bottom
C46,368.526619,-158.212039,340.0,bottom
C47,472.26383,-164.742751,180.0,bottom
C48,491.351333,-164.74275,180.0,bottom
C49,472.26383,-145.69275,0.0,bottom
C5,162.6875,-162.3125,180.0,bottom
C50,491.61383,-145.63025,0.0,bottom
C52,67.4375,-124.2125,180.0,bottom
C54,86.4875,-124.2125,180.0,bottom
C56,86.4875,-105.1625,0.0,bottom
C58,67.4375,-105.1625,0.0,bottom
C6,396.063833,-164.742751,180.0,bottom
C64,491.35133,-126.64275,180.0,bottom
C66,472.263831,-126.642751,180.0,bottom
C68,472.26383,-107.592751,0.0,bottom
C7,162.6875,-143.2625,0.0,bottom
C70,491.35133,-107.59275,0.0,bottom
C8,396.063833,-145.69275,0.0,bottom
C9,143.6375,-136.11875,0.0,bottom
CN1,179.85,-92.6,0.0,bottom
CN2,378.766362,-94.9,180.0,bottom
D1,59.0,-91.65,90.0,bottom
D10,406.77633,-87.830251,90.0,bottom
D11,154.4,-92.5,90.0,bottom
D12,387.776332,-94.930252,90.0,bottom
D13,59.0,-110.65,90.0,bottom
D14,78.2,-116.1,90.0,bottom
D15,97.1,-104.2,90.0,bottom
D16,116.0,-98.65,90.0,bottom
D17,135.3,-104.4,90.0,bottom
D18,154.4,-111.5,90.0,bottom
D19,482.91383,-113.08025,90.0,bottom
D2,482.913831,-94.080251,90.0,bottom
D20,463.976331,-118.53025,90.0,bottom
D21,444.81383,-106.630251,90.0,bottom
D22,425.76383,-101.080251,90.0,bottom
D23,406.77633,-106.830251,90.0,bottom
D24,387.776333,-113.930251,90.0,bottom
D25,59.0,-129.65,90.0,bottom
D26,78.2,-135.1,90.0,bottom
D27,97.1,-123.2,90.0,bottom
D28,116.0,-117.65,90.0,bottom
D29,135.3,-123.4,90.0,bottom
D3,78.2,-97.1,90.0,bottom
D30,154.4,-130.5,90.0,bottom
D31,482.91383,-132.08025,90.0,bottom
D32,463.97633,-137.53025,90.0,bottom
D33,444.81383,-125.63025,90.0,bottom
D34,425.76383,-120.080251,90.0,bottom
D35,406.77633,-125.830251,90.0,bottom
D36,387.776332,-132.930251,90.0,bottom
D37,59.0,-148.65,90.0,bottom
D38,78.2,-154.1,90.0,bottom
D39,97.1,-142.2,90.0,bottom
D4,463.97633,-99.530252,90.0,bottom
D40,116.0,-136.65,90.0,bottom
D41,135.3,-142.4,90.0,bottom
D42,154.4,-149.5,90.0,bottom
D43,482.913832,-151.08025,90.0,bottom
D44,463.97633,-156.53025,90.0,bottom
D45,444.813831,-144.63025,90.0,bottom
D46,425.763831,-139.08025,90.0,bottom
D47,406.77633,-144.83025,90.0,bottom
D48,387.776332,-151.93025,90.0,bottom
D49,130.9,-185.15,90.0,bottom
D5,97.1,-85.2,90.0,bottom
D50,149.9,-185.15,90.0,bottom
D51,186.4,-140.7,110.0,bottom
D52,180.4,-158.7,110.0,bottom
D53,411.901333,-187.58025,90.0,bottom
D54,392.801332,-187.58025,90.0,bottom
D55,356.127046,-149.035408,70.0,bottom
D56,363.066897,-166.693329,70.0,bottom
D57,31.6,-118.7,90.0,bottom
D58,527.151331,-121.13025,90.0,bottom
D59,182.8,-88.2,180.0,bottom
D6,444.81383,-87.630252,90.0,bottom
D7,116.0,-79.65,90.0,bottom
