Designator,Footprint,Quantity,Value,LCSC Part #
"C10, C12, C14, C16, C18, C2, C20, C22, C24, C26, C39, C4, C40, C41, C42, C43, C44, C45, C46, C47, C48, C49, C50, C6, C64, C66, C68, C70, C8",0603,29,0.1uF,
CN2,AUDIO-TH_XKB_PJ-320A,1,PJ-320A,C2884926
"D10, D12, D19, D2, D20, D21, D22, D23, D24, D31, D32, D33, D34, D35, D36, D4, D43, D44, D45, D46, D47, D48, D53, D54, D55, D56, D58, D6, D8",D_SOD-123,29,D,
J2,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
"LED10, LED12, LED14, LED16, LED18, LED20, LED22, LED24, LED26, LED39, LED4, LED40, LED41, LED42, LED43, LED44, LED45, LED46, LED47, LED48, LED49, LED50, LED6, LED63, LED65, LED67, LED69, LED8",LED-SMD_L3.2-W2.8-LS5.9_SK6812MINI-E,28,SK6812MINI-E_C5149201,C5149201
LED2,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,1,WS2812B-2020,C965555
R2,0805,1,806K,
R4,0805,1,2M,
"R6, R8",0603,2,330,
"SW10, SW12, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW31, SW32, SW33, SW34, SW35, SW36, SW4, SW43, SW44, SW45, SW46, SW47, SW48, SW53, SW54, SW55, SW56, SW6, SW8",SW_choc_v1_HS_CPG135001S30_1u,28,SW_Push,
SW58,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
TP3,TestPoint_Pad_D2.0mm,1,BAT,
TP4,TestPoint_Pad_D2.0mm,1,GND,
U4,CONN-TH_S2B-PH-K-S-LF-SN,1,S2B-PH-K-S(LF)(SN),C173752
U6,NICE!NANO V2_2,1,nice!nano v2,
