Designator,Mid X,Mid Y,Rotation,Layer
C10,415.11383,-138.549,0.0,bottom
C12,396.063832,-126.642751,180.0,bottom
C14,415.11383,-119.499001,180.0,bottom
C16,396.063833,-107.592751,0.0,bottom
C18,415.11383,-100.449001,0.0,bottom
C2,526.951332,-161.43025,180.0,bottom
C20,453.25133,-157.599,180.0,bottom
C22,434.351331,-152.8365,180.0,bottom
C24,453.25133,-138.549,0.0,bottom
C26,453.251331,-119.499,180.0,bottom
C39,434.351331,-133.7865,0.0,bottom
C4,415.113831,-157.599,180.0,bottom
C40,434.35133,-114.736501,180.0,bottom
C41,434.35133,-95.686501,0.0,bottom
C42,453.25133,-100.449001,0.0,bottom
C43,420.001332,-195.73025,0.0,bottom
C44,400.826333,-195.699,0.0,bottom
C45,374.865961,-176.243307,340.0,bottom
C46,368.526619,-158.212039,340.0,bottom
C47,472.26383,-164.742751,180.0,bottom
C48,491.351333,-164.74275,180.0,bottom
C49,472.26383,-145.69275,0.0,bottom
C50,491.61383,-145.63025,0.0,bottom
C6,396.063833,-164.742751,180.0,bottom
C64,491.35133,-126.64275,180.0,bottom
C66,472.263831,-126.642751,180.0,bottom
C68,472.26383,-107.592751,0.0,bottom
C70,491.35133,-107.59275,0.0,bottom
C8,396.063833,-145.69275,0.0,bottom
CN2,378.766362,-94.9,180.0,bottom
D10,406.77633,-87.830251,90.0,bottom
D12,387.776332,-94.930252,90.0,bottom
D19,482.91383,-113.08025,90.0,bottom
D2,482.913831,-94.080251,90.0,bottom
D20,463.976331,-118.53025,90.0,bottom
D21,444.81383,-106.630251,90.0,bottom
D22,425.76383,-101.080251,90.0,bottom
D23,406.77633,-106.830251,90.0,bottom
D24,387.776333,-113.930251,90.0,bottom
D31,482.91383,-132.08025,90.0,bottom
D32,463.97633,-137.53025,90.0,bottom
D33,444.81383,-125.63025,90.0,bottom
D34,425.76383,-120.080251,90.0,bottom
D35,406.77633,-125.830251,90.0,bottom
D36,387.776332,-132.930251,90.0,bottom
D4,463.97633,-99.530252,90.0,bottom
D43,482.913832,-151.08025,90.0,bottom
D44,463.97633,-156.53025,90.0,bottom
D45,444.813831,-144.63025,90.0,bottom
D46,425.763831,-139.08025,90.0,bottom
D47,406.77633,-144.83025,90.0,bottom
D48,387.776332,-151.93025,90.0,bottom
D53,411.901333,-187.58025,90.0,bottom
D54,392.801332,-187.58025,90.0,bottom
D55,356.127046,-149.035408,70.0,bottom
D56,363.066897,-166.693329,70.0,bottom
D58,527.151331,-121.13025,90.0,bottom
D6,444.81383,-87.630252,90.0,bottom
D8,425.76383,-82.080251,90.0,bottom
J2,515.79,-128.974999,90.0,bottom
LED10,434.35133,-91.886502,0.0,bottom
LED12,415.11383,-96.649001,0.0,bottom
LED14,396.063832,-103.792751,0.0,bottom
LED16,396.063832,-122.842751,180.0,bottom
LED18,415.11383,-115.699001,180.0,bottom
LED2,527.151332,-163.93025,270.0,bottom
LED20,434.351331,-110.936501,180.0,bottom
LED22,453.25133,-115.699001,180.0,bottom
LED24,472.26383,-122.84275,180.0,bottom
LED26,491.351331,-122.842751,180.0,bottom
LED39,491.35133,-141.89275,0.0,bottom
LED4,491.35133,-103.792751,0.0,bottom
LED40,491.351333,-160.94275,180.0,bottom
LED41,472.263831,-141.89275,0.0,bottom
LED42,472.26383,-160.94275,180.0,bottom
LED43,453.251331,-134.749,0.0,bottom
LED44,453.25133,-153.799,180.0,bottom
LED45,434.35133,-129.9865,0.0,bottom
LED46,434.35133,-149.0365,180.0,bottom
LED47,415.113831,-134.749,0.0,bottom
LED48,415.11383,-153.799,180.0,bottom
LED49,396.063832,-141.89275,0.0,bottom
LED50,396.063832,-160.94275,180.0,bottom
LED6,472.26383,-103.792751,0.0,bottom
LED63,419.876333,-191.899,0.0,bottom
LED65,400.826332,-191.899,0.0,bottom
LED67,373.982758,-172.546018,340.0,bottom
LED69,367.349325,-154.630981,340.0,bottom
LED8,453.25133,-96.649001,0.0,bottom
R2,434.138832,-173.23025,0.0,bottom
R4,434.138832,-167.23025,180.0,bottom
R6,529.451331,-163.83025,90.0,bottom
R8,526.6,-134.13025,0.0,bottom
SW10,415.11383,-91.949001,180.0,bottom
SW12,396.063832,-99.092751,180.0,bottom
SW19,491.351331,-118.14275,180.0,bottom
SW2,491.35133,-99.092751,180.0,bottom
SW20,472.26383,-118.14275,180.0,bottom
SW21,453.25133,-110.999001,180.0,bottom
SW22,434.35133,-106.236501,180.0,bottom
SW23,415.11383,-110.999001,180.0,bottom
SW24,396.063832,-118.142752,180.0,bottom
SW31,491.351331,-137.192751,180.0,bottom
SW32,472.26383,-137.19275,180.0,bottom
SW33,453.25133,-130.049,180.0,bottom
SW34,434.351331,-125.286501,180.0,bottom
SW35,415.11383,-130.049002,180.0,bottom
SW36,396.063832,-137.192751,180.0,bottom
SW4,472.26383,-99.092751,180.0,bottom
SW43,491.351332,-156.24275,180.0,bottom
SW44,472.263831,-156.24275,180.0,bottom
SW45,453.251331,-149.099,180.0,bottom
SW46,434.35133,-144.3365,180.0,bottom
SW47,415.113831,-149.099,180.0,bottom
SW48,396.063832,-156.24275,180.0,bottom
SW53,419.876332,-187.199,180.0,bottom
SW54,400.826332,-187.199,180.0,bottom
SW55,365.740082,-150.2065,160.0,bottom
SW56,372.251333,-168.149,160.0,bottom
SW58,516.5,-116.930251,0.0,bottom
SW6,453.25133,-91.949001,180.0,bottom
SW8,434.35133,-87.186501,180.0,bottom
U4,520.126332,-100.03025,180.0,top
U6,516.051331,-149.43025,180.0,bottom
