Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C13, C15, C17, C19, C21, C23, C25, C27, C28, C29, C3, C30, C31, C32, C33, C34, C35, C36, C37, C38, C5, C52, C54, C56, C58, C7, C9",0603,29,0.1uF,
CN1,AUDIO-TH_XKB_PJ-320A,1,PJ-320A,C2884926
"D1, D11, D13, D14, D15, D16, D17, D18, D25, D26, D27, D28, D29, D3, D30, D37, D38, D39, D40, D41, D42, D49, D5, D50, D51, D52, D57, D7, D9",D_SOD-123,29,D,
D59,SOD-123_L2.8-W1.8-LS3.7-RD,1,MBR130T1G,C82461
F1,F1206,1,nSMD050-33V,C70077
J1,PinSocket_1x04_P2.54mm_Vertical,1,Conn_01x04_Socket,
LED1,LED-SMD_4P-L2.0-W2.0-TL_WS2812B-2020,1,WS2812B-2020,C965555
"LED11, LED13, LED15, LED17, LED19, LED21, LED23, LED25, LED27, LED28, LED29, LED3, LED30, LED31, LED32, LED33, LED34, LED35, LED36, LED37, LED38, LED5, LED51, LED53, LED55, LED57, LED7, LED9",LED-SMD_L3.2-W2.8-LS5.9_SK6812MINI-E,28,SK6812MINI-E_C5149201,C5149201
R1,0805,1,806K,
R3,0805,1,2M,
"R5, R7",0603,2,330,
"SW1, SW11, SW13, SW14, SW15, SW16, SW17, SW18, SW25, SW26, SW27, SW28, SW29, SW3, SW30, SW37, SW38, SW39, SW40, SW41, SW42, SW49, SW5, SW50, SW51, SW52, SW7, SW9",SW_choc_v1_HS_CPG135001S30_1u,28,SW_Push,
SW57,RotaryEncoder_Alps_EC11E-Switch_Vertical_H20mm,1,RotaryEncoder_Switch,
TP1,TestPoint_Pad_D2.0mm,1,BAT,
TP2,TestPoint_Pad_D2.0mm,1,GND,
U3,CONN-TH_S2B-PH-K-S-LF-SN,1,S2B-PH-K-S(LF)(SN),C173752
U5,NICE!NANO V2_2,1,nice!nano v2,
