Designator,Mid X,Mid Y,Rotation,Layer
C1,31.8,-159.0,180.0,bottom
C11,162.6875,-124.2125,180.0,bottom
C13,143.6375,-117.06875,180.0,bottom
C15,162.6875,-105.1625,0.0,bottom
C17,143.6375,-98.01875,0.0,bottom
C19,105.5375,-155.16875,180.0,bottom
C21,124.5875,-150.40625,180.0,bottom
C23,105.5375,-136.11875,0.0,bottom
C25,105.5375,-117.06875,180.0,bottom
C27,124.5875,-131.35625,0.0,bottom
C28,124.5875,-112.30625,180.0,bottom
C29,124.5875,-93.25625,0.0,bottom
C3,143.6375,-155.16875,180.0,bottom
C30,105.5375,-98.01875,0.0,bottom
C31,139.0,-193.3,0.0,bottom
C32,157.925,-193.26875,0.0,bottom
C33,183.3,-173.6,20.0,bottom
C34,190.0,-155.7,20.0,bottom
C35,86.4875,-162.3125,180.0,bottom
C36,67.4375,-162.3125,180.0,bottom
C37,86.4875,-143.2625,0.0,bottom
C38,67.7,-143.2,0.0,bottom
C5,162.6875,-162.3125,180.0,bottom
C52,67.4375,-124.2125,180.0,bottom
C54,86.4875,-124.2125,180.0,bottom
C56,86.4875,-105.1625,0.0,bottom
C58,67.4375,-105.1625,0.0,bottom
C7,162.6875,-143.2625,0.0,bottom
C9,143.6375,-136.11875,0.0,bottom
CN1,179.85,-92.6,0.0,bottom
D1,59.0,-91.65,90.0,bottom
D11,154.4,-92.5,90.0,bottom
D13,59.0,-110.65,90.0,bottom
D14,78.2,-116.1,90.0,bottom
D15,97.1,-104.2,90.0,bottom
D16,116.0,-98.65,90.0,bottom
D17,135.3,-104.4,90.0,bottom
D18,154.4,-111.5,90.0,bottom
D25,59.0,-129.65,90.0,bottom
D26,78.2,-135.1,90.0,bottom
D27,97.1,-123.2,90.0,bottom
D28,116.0,-117.65,90.0,bottom
D29,135.3,-123.4,90.0,bottom
D3,78.2,-97.1,90.0,bottom
D30,154.4,-130.5,90.0,bottom
D37,59.0,-148.65,90.0,bottom
D38,78.2,-154.1,90.0,bottom
D39,97.1,-142.2,90.0,bottom
D40,116.0,-136.65,90.0,bottom
D41,135.3,-142.4,90.0,bottom
D42,154.4,-149.5,90.0,bottom
D49,130.9,-185.15,90.0,bottom
D5,97.1,-85.2,90.0,bottom
D50,149.9,-185.15,90.0,bottom
D51,186.4,-140.7,110.0,bottom
D52,180.4,-158.7,110.0,bottom
D57,31.6,-118.7,90.0,bottom
D59,182.8,-88.2,180.0,bottom
D7,116.0,-79.65,90.0,bottom
D9,135.3,-85.4,90.0,bottom
F1,54.5,-152.1,0.0,bottom
J1,42.99,-126.6,90.0,bottom
LED1,31.6,-161.5,270.0,bottom
LED11,143.6375,-94.21875,180.0,bottom
LED13,162.6875,-101.3625,180.0,bottom
LED15,162.6875,-120.4125,0.0,bottom
LED17,143.6375,-113.26875,0.0,bottom
LED19,124.5875,-108.50625,0.0,bottom
LED21,105.5375,-113.26875,0.0,bottom
LED23,86.4875,-120.4125,0.0,bottom
LED25,67.4375,-120.4125,0.0,bottom
LED27,67.4375,-139.4625,180.0,bottom
LED28,67.4375,-158.5125,0.0,bottom
LED29,86.4875,-139.4625,180.0,bottom
LED3,67.4375,-101.3625,180.0,bottom
LED30,86.4875,-158.5125,0.0,bottom
LED31,105.5375,-132.31875,180.0,bottom
LED32,105.5375,-151.36875,0.0,bottom
LED33,124.5875,-127.55625,180.0,bottom
LED34,124.5875,-146.60625,0.0,bottom
LED35,143.6375,-132.31875,180.0,bottom
LED36,143.6375,-151.36875,0.0,bottom
LED37,162.6875,-139.4625,180.0,bottom
LED38,162.6875,-158.5125,0.0,bottom
LED5,86.4875,-101.3625,180.0,bottom
LED51,138.875,-189.46875,180.0,bottom
LED53,157.925,-189.46875,180.0,bottom
LED55,185.0,-170.2,200.0,bottom
LED57,191.4,-152.2,200.0,bottom
LED7,105.5375,-94.21875,180.0,bottom
LED9,124.5875,-89.45625,180.0,bottom
R1,124.6125,-170.8,180.0,bottom
R3,124.6125,-164.8,0.0,bottom
R5,29.3,-161.4,90.0,bottom
R7,53.4,-131.7,0.0,bottom
SW1,67.4375,-96.6625,180.0,bottom
SW11,162.6875,-96.6625,180.0,bottom
SW13,67.4375,-115.7125,180.0,bottom
SW14,86.4875,-115.7125,180.0,bottom
SW15,105.5375,-108.56875,180.0,bottom
SW16,124.5875,-103.80625,180.0,bottom
SW17,143.6375,-108.56875,180.0,bottom
SW18,162.6875,-115.7125,180.0,bottom
SW25,67.4375,-134.7625,180.0,bottom
SW26,86.4875,-134.7625,180.0,bottom
SW27,105.5375,-127.61875,180.0,bottom
SW28,124.5875,-122.85625,180.0,bottom
SW29,143.6375,-127.61875,180.0,bottom
SW3,86.4875,-96.6625,180.0,bottom
SW30,162.6875,-134.7625,180.0,bottom
SW37,67.4375,-153.8125,180.0,bottom
SW38,86.4875,-153.8125,180.0,bottom
SW39,105.5375,-146.66875,180.0,bottom
SW40,124.5875,-141.90625,180.0,bottom
SW41,143.6375,-146.66875,180.0,bottom
SW42,162.6875,-153.8125,180.0,bottom
SW49,138.875,-184.76875,180.0,bottom
SW5,105.5375,-89.51875,180.0,bottom
SW50,157.925,-184.76875,180.0,bottom
SW51,193.01125,-147.77625,200.0,bottom
SW52,186.5,-165.71875,200.0,bottom
SW57,42.65,-114.5,0.0,bottom
SW7,124.5875,-84.75625,180.0,bottom
SW9,143.6375,-89.51875,180.0,bottom
U3,38.575,-97.6,180.0,top
U5,42.7,-147.0,180.0,bottom
